# R-2 variant-batch CANDIDATES from pn_binding_numonly.txt (audit 2026-07-16 bucket:
# spelling-variant, single close candidate). CONDITIONS: every pair EYEBALLED vs TIPNR
# before it enters the map; roster-freeze gate (check_roster_regression.py CLEAN) before
# any import runs. Columns: surface | candidate entity key | rows | example ref
sacar | sharar | 1 | 1Ch 11:35
sallai | sallu | 1 | Neh 12:20
salma | salmon | 2 | 1Ch 2:11
samaritan | samaria | 3 | Joh 4:9
samiah | samlah | 2 | Gen 36:36
sanaballat | sanballat | 1 | Neh 2:19
saraiah | seraiah | 2 | Jer 36:26
saul | shaul | 2 | Gen 36:37
secundos | secundus | 1 | Act 20:4
seriah | seraiah | 1 | 2Sa 8:17
shahazinah | shahazumah | 1 | Jos 19:22
shalitha | shalishah | 1 | 1Sa 9:4
shamer | shemer | 1 | 1Ch 6:46
shamer | shomer | 1 | 1Ch 7:34
shammuah | shammua | 1 | 2Sa 5:14
shearaiah | sheariah | 1 | 1Ch 8:38
shechaniah | shebaniah | 1 | Neh 12:3
shechaniah | shecaniah | 7 | 1Ch 3:21
shelomith | shelomoth | 4 | 1Ch 23:9
shemei | shimei | 2 | Ezr 10:23
shemiah | shemaiah | 1 | 1Ch 9:16
shemuel | samuel | 1 | 1Ch 6:33
sherezar | sharezer | 1 | Zec 7:2
shetharboznai | shethar-bozenai | 4 | Ezr 5:3
shihon | shion | 1 | Jos 19:19
shimiramoth | shemiramoth | 1 | 1Ch 15:20
shittin | shittim | 2 | Jos 2:1
shochoh | socoh | 2 | 1Sa 17:1
soccoth | succoth | 2 | Num 33:5
socho | soco | 1 | 1Ch 4:18
sochoh | socoh | 1 | 1Ki 4:10
sopator | sopater | 1 | Act 20:4
sushan | susa | 1 | Dan 8:2
syrian | syria | 13 | 1Ch 18:5
tabaoth | tabbaoth | 1 | Ezr 2:43
tahapanhes | tahpanhes | 1 | Jer 2:16
tapphuah | tappuah | 1 | Jos 15:34
tappua | tappuah | 1 | 1Ch 2:43
tekoe | tekoa | 1 | 1Ch 4:5
telmon | talmon | 1 | Ezr 2:42
tharshish | tarshish | 1 | 1Ch 7:10
tirah | tiria | 1 | 1Ch 4:16
tishbon | tishbe | 1 | 1Ki 17:1
uzza | uzzah | 5 | 1Ch 6:29
zarthan | zarethan | 1 | 1Ki 7:46
zeboim | zeboim_valley | 1 | 1Sa 13:18
zechri | zichri | 2 | 2Ch 28:7
zereah | zorah | 1 | Neh 11:29
zibeah | zibiah | 1 | 2Ch 24:1
zilthai | zillethai | 2 | 1Ch 8:20
zobedah | zobebah | 1 | 1Ch 4:8
