# witness-divergence census, PRODUCTION-MATCHER lanes (2026-07-30, reviewer-approved drill)
# lane|name|book|chapter|verse|sole_entity_or_candidate_count
C|hanun|1Ch|19|1|3
B|jesiah|1Ch|23|20|0
C|kore|1Ch|26|19|2
B|laadan|1Ch|26|21|0
C|elon|1Ki|4|9|4
C|baanah|1Ki|4|16|4
C|elah|1Ki|4|18|6
C|hiram|1Ki|9|13|2
C|obadiah|1Ki|18|9|12
C|elkanah|1Sa|1|5|8
C|nahash|1Sa|11|10|4
C|ahimelech|1Sa|21|6|3
C|jehoram|2Ch|23|1|2
C|jotham|2Ch|27|8|3
C|mephibosheth|2Sa|19|26|2
A|sheva|2Sa|20|25|Sheva@1Ch.2.49
A|michal|2Sa|21|8|Michal@1Sa.14.49-1Ch
B|barsabas|Act|1|23|0
C|joses|Act|4|36|2
C|eliezer|Exo|2|22|11
C|miriam|Exo|6|20|2
A|malchiah|Ezr|10|25|Malchiah@Jer.21.1-
C|ishmael|Gen|21|11|6
A|hadar|Gen|25|15|Hadad@Gen.36.39-1Ch
C|shechem|Gen|35|5|4
C|heman|Gen|36|22|3
C|machir|Gen|46|20|2
C|deborah|Jdg|4|6|2
C|sisera|Jdg|4|19|2
C|ebed|Jdg|9|36|2
C|shallum|Jer|32|8|16
B|pashur|Jer|38|1|0
C|jephunneh|Jos|15|14|2
C|jamin|Jos|17|7|3
B|zacharias|Luk|3|2|0
A|joanna|Luk|3|27|Joanna@Luk.8.3-
C|jehoiada|Neh|3|6|4
C|harim|Neh|10|4|5
B|hodijah|Neh|10|12|0
C|bunni|Neh|10|14|3
C|beor|Num|24|22|2
C|shelah|Num|26|19|3
A|sarah|Num|26|46|Sarah@Gen.11.29-1Pe
C|jacob|Gen|29|23|2
C|jacob|Gen|29|25|2
C|jacob|Gen|29|32|2
C|jacob|Gen|29|33|2
C|jacob|Gen|29|7|2
C|jacob|Gen|30|23|2
C|jacob|Gen|30|29|2
C|jacob|Gen|30|3|2
C|jacob|Gen|32|8|2
C|jacob|Gen|35|16|2
C|jacob|Gen|35|8|2
C|jacob|Gen|45|26|2
C|jacob|Gen|48|1|2
C|jacob|Gen|48|9|2
C|jacob|Isa|42|1|2
C|jacob|Mal|3|7|2
C|jesus|1Co|16|22|2
C|jesus|1Co|5|5|2
C|jesus|2Ti|4|22|2
C|jesus|Act|19|10|2
C|jesus|Act|3|26|2
C|jesus|Act|5|41|2
C|jesus|Act|8|37|2
C|jesus|Act|9|29|2
C|jesus|Eph|3|14|2
C|jesus|Eph|3|9|2
C|jesus|Gal|6|15|2
C|jesus|Joh|4|46|2
C|jesus|Joh|6|14|2
C|jesus|Joh|8|21|2
C|jesus|Luk|10|41|2
C|jesus|Luk|13|2|2
C|jesus|Luk|22|63|2
C|jesus|Luk|23|43|2
C|jesus|Mar|11|11|2
C|jesus|Mar|11|14|2
C|jesus|Mar|1|41|2
C|jesus|Mar|5|13|2
C|jesus|Mar|5|19|2
C|jesus|Mat|13|36|2
C|jesus|Mat|13|51|2
C|jesus|Mat|14|14|2
C|jesus|Mat|14|22|2
C|jesus|Mat|14|25|2
C|jesus|Mat|15|30|2
C|jesus|Mat|17|11|2
C|jesus|Mat|17|20|2
C|jesus|Mat|22|37|2
C|jesus|Mat|8|29|2
C|jesus|Mat|8|5|2
C|jesus|Mat|8|7|2
C|jesus|Mat|9|12|2
C|jesus|Rev|14|4|2
C|jesus|Rom|16|24|2
C|joseph|Gen|37|36|10
C|joseph|Gen|39|11|10
C|joseph|Gen|39|23|10
C|joseph|Gen|42|24|10
C|joseph|Gen|44|1|10
C|joseph|Gen|44|17|10
C|joseph|Gen|45|24|10
C|joseph|Gen|46|5|10
C|joseph|Gen|47|22|10
C|joseph|Gen|47|3|10
C|joseph|Gen|50|6|10
C|elijah|1Ki|17|10|4
C|elijah|1Ki|17|11|4
C|elijah|1Ki|17|19|4
C|elijah|1Ki|17|2|4
C|elijah|1Ki|17|20|4
C|elijah|1Ki|17|5|4
C|elijah|1Ki|17|8|4
C|elijah|1Ki|18|18|4
C|elijah|1Ki|18|33|4
C|elijah|1Ki|18|43|4
C|elijah|1Ki|19|10|4
C|elijah|1Ki|19|14|4
C|elijah|1Ki|19|3|4
C|elijah|1Ki|19|6|4
C|elijah|2Ki|2|10|4
C|pharaoh|1Sa|10|18|10
C|pharaoh|Exo|12|31|10
C|pharaoh|Exo|14|6|10
C|pharaoh|Exo|18|9|10
C|pharaoh|Exo|2|22|10
C|pharaoh|Exo|2|6|10
C|pharaoh|Exo|3|18|10
C|pharaoh|Exo|3|19|10
C|pharaoh|Gen|41|26|10
C|shealtiel|Hag|2|21|2
C|micaiah|1Ki|22|17|5
C|micaiah|1Ki|22|19|5
